epoch,accuracy,loss,val_accuracy,val_loss
0,0.9314067363739014,0.17047438025474548,0.960465133190155,0.1099967360496521
1,0.960087239742279,0.11455664038658142,0.9482558369636536,0.15002262592315674
2,0.9645583629608154,0.10009939968585968,0.9406976699829102,0.15205316245555878
3,0.9682660698890686,0.09007622301578522,0.9680232405662537,0.09214049577713013
4,0.9725190997123718,0.07984340935945511,0.9686046242713928,0.11312661319971085
5,0.9729552865028381,0.08021809160709381,0.9709302186965942,0.08090835064649582
6,0.9735005497932434,0.07451846450567245,0.9593023061752319,0.11763446033000946
7,0.9755725264549255,0.07292593270540237,0.9686046242713928,0.08495307713747025
8,0.9751363396644592,0.07175759226083755,0.9750000238418579,0.07290119677782059
9,0.9782987833023071,0.06450480967760086,0.9691860675811768,0.07584775239229202
10,0.9774264097213745,0.06611359864473343,0.9686046242713928,0.08712548762559891
11,0.9775354266166687,0.0622478649020195,0.9639534950256348,0.09139224886894226
12,0.9859324097633362,0.04558557644486427,0.9668604731559753,0.09007815271615982
13,0.9857142567634583,0.038036543875932693,0.9715116024017334,0.07907488942146301
14,0.9857142567634583,0.03691086173057556,0.9709302186965942,0.07243400067090988
15,0.9852780699729919,0.03759991005063057,0.9703488349914551,0.07977933436632156
16,0.9873500466346741,0.035194408148527145,0.9703488349914551,0.07870567589998245
17,0.9883314967155457,0.0326232835650444,0.9709302186965942,0.07955676317214966
18,0.9861505031585693,0.03437677398324013,0.9715116024017334,0.0765313133597374
19,0.989313006401062,0.029576584696769714,0.974418580532074,0.06627722829580307
20,0.987459123134613,0.032616276293992996,0.9720930457115173,0.07084722816944122
21,0.9885495901107788,0.03229738771915436,0.974418580532074,0.06334372609853745
22,0.9889858365058899,0.030178287997841835,0.9732558131217957,0.06849160045385361
23,0.9894220232963562,0.030667653307318687,0.9726744294166565,0.07277394831180573
24,0.9877862334251404,0.030363328754901886,0.9720930457115173,0.07276368141174316
25,0.989203929901123,0.030512280762195587,0.9726744294166565,0.07221781462430954
26,0.9896401166915894,0.029567858204245567,0.9715116024017334,0.07635775953531265
27,0.9886586666107178,0.030977128073573112,0.9720930457115173,0.07423433661460876
28,0.9871319532394409,0.038499973714351654,0.9715116024017334,0.0738697275519371
29,0.9877862334251404,0.03314538672566414,0.9715116024017334,0.07483015954494476
